Season,Team,Gtm,Opp,Spread,Total
2015,CLE,15,@KAN,10.5,42.5
2015,CLE,16,PIT,11.0,46.5
2015,DAL,1,NYG,-6.0,51.5
2015,DAL,2,@PHI,5.0,55.0
2015,DAL,3,ATL,1.0,43.5
2015,DAL,4,@NOR,3.0,48.0
2015,DAL,5,NWE,9.0,49.5
2015,DAL,6,@NYG,3.0,45.0
2015,DAL,7,SEA,4.5,41.0
2015,DAL,8,PHI,3.0,43.5
2015,DAL,9,@TAM,1.0,43.0
2015,DAL,10,@MIA,-1.5,46.0
2015,DAL,11,CAR,-1.5,45.5
2015,DAL,12,@WAS,3.5,42.0
2015,DAL,13,@GNB,6.5,42.5
2015,DAL,14,NYJ,3.0,41.5
2015,DAL,15,@BUF,6.5,42.0
2015,DAL,16,WAS,-3.5,39.5
2015,DEN,1,BAL,-4.5,48.0
2015,DEN,2,@KAN,3.0,42.0
2015,DEN,3,@DET,-3.0,44.5
2015,DEN,4,MIN,-7.0,42.5
2015,DEN,5,@OAK,-4.0,44.0
2015,DEN,6,@CLE,-3.5,42.0
2015,DEN,7,GNB,2.5,45.5
2015,DEN,8,@IND,-5.5,45.5
2015,DEN,9,KAN,-4.5,42.0
2015,DEN,10,@CHI,-1.0,41.0
2015,DEN,11,NWE,2.5,43.5
2015,DEN,12,@SDG,-3.5,43.5
2015,DEN,13,OAK,-6.5,43.5
2015,DEN,14,@PIT,6.0,45.0
2015,DEN,15,CIN,-3.0,39.5
2015,DEN,16,SDG,-10.0,41.5
2015,DET,1,@SDG,2.5,45.5
2015,DET,2,@MIN,2.0,43.5
2015,DET,3,DEN,3.0,44.5
2015,DET,4,@SEA,9.5,43.0
2015,DET,5,ARI,3.0,45.5
2015,DET,6,CHI,-3.0,44.0
2015,DET,7,MIN,2.0,44.5
2015,DET,8,@KAN,3.5,45.0
2015,DET,9,@GNB,10.5,49.5
2015,DET,10,OAK,1.0,49.0
2015,DET,11,PHI,-2.0,46.0
2015,DET,12,GNB,3.0,46.5
2015,DET,13,@STL,-3.5,41.0
2015,DET,14,@NOR,2.5,51.5
2015,DET,15,SFO,-9.5,42.0
2015,DET,16,@CHI,-1.0,45.5
2015,GNB,1,@CHI,-6.5,49.0
2015,GNB,2,SEA,-3.0,49.0
2015,GNB,3,KAN,-6.0,49.0
2015,GNB,4,@SFO,-7.5,48.0
2015,GNB,5,STL,-9.0,45.5
2015,GNB,6,SDG,-10.5,51.0
2015,GNB,7,@DEN,-2.5,45.5
2015,GNB,8,@CAR,-2.5,46.0
2015,GNB,9,DET,-10.5,49.5
2015,GNB,10,@MIN,1.0,44.0
2015,GNB,11,CHI,-8.5,44.5
2015,GNB,12,@DET,-3.0,46.5
2015,GNB,13,DAL,-6.5,42.5
2015,GNB,14,@OAK,-3.0,47.0
2015,GNB,15,@ARI,4.5,50.5
2015,GNB,16,MIN,-3.0,45.5
2015,HTX,1,KAN,-1.0,41.0
2015,HTX,2,@CAR,3.0,39.5
2015,HTX,3,TAM,-6.5,40.5
2015,HTX,4,@ATL,6.0,47.0
2015,HTX,5,IND,-2.0,44.5
2015,HTX,6,@JAX,2.5,43.0
2015,HTX,7,@MIA,4.5,44.5
2015,HTX,8,TEN,-3.5,42.5
2015,HTX,9,@CIN,10.5,47.0
2015,HTX,10,NYJ,3.0,40.5
2015,HTX,11,NOR,-3.0,48.0
2015,HTX,12,@BUF,3.5,41.5
2015,HTX,13,NWE,3.5,45.0
2015,HTX,14,@IND,1.5,42.0
2015,HTX,15,@TEN,-3.5,40.0
2015,HTX,16,JAX,-6.5,45.5
2015,CLT,1,@BUF,-2.5,45.0
2015,CLT,2,NYJ,-7.0,46.5
2015,CLT,3,@TEN,-3.5,46.0
2015,CLT,4,JAX,-9.5,48.0
2015,CLT,5,@HOU,2.0,44.5
2015,CLT,6,NWE,9.5,54.5
2015,CLT,7,NOR,-4.0,52.0
2015,CLT,8,@CAR,6.5,46.5
2015,CLT,9,DEN,5.5,45.5
2015,CLT,10,@ATL,4.5,47.5
2015,CLT,11,TAM,-3.0,46.0
2015,CLT,12,@PIT,7.5,49.0
2015,CLT,13,@JAX,1.5,46.0
2015,CLT,14,HOU,-1.5,42.0
2015,CLT,15,@MIA,2.5,43.0
2015,CLT,16,TEN,-4.5,39.0
2015,JAX,1,CAR,3.0,40.5
2015,JAX,2,MIA,6.0,41.5
2015,JAX,3,@NWE,13.5,49.0
2015,JAX,4,@IND,9.5,48.0
2015,JAX,5,@TAM,2.5,41.5
2015,JAX,6,HOU,-2.5,43.0
2015,JAX,7,BUF,4.0,41.0
2015,JAX,8,@NYJ,8.0,42.0
2015,JAX,9,@BAL,5.0,47.5
2015,JAX,10,TEN,-2.5,43.0
2015,JAX,11,SDG,-4.5,46.5
2015,JAX,12,@TEN,2.5,43.5
2015,JAX,13,IND,-1.5,46.0
2015,JAX,14,ATL,-3.0,49.0
2015,JAX,15,@NOR,3.0,51.5
2015,JAX,16,@HOU,6.5,45.5
2015,KAN,1,@HOU,1.0,41.0
2015,KAN,2,DEN,-3.0,42.0
2015,KAN,3,@GNB,6.0,49.0
2015,KAN,4,@CIN,3.5,45.0
2015,KAN,5,CHI,-9.0,45.0
2015,KAN,6,@MIN,3.5,43.0
2015,KAN,7,PIT,-3.0,43.0
2015,KAN,8,DET,-3.5,45.0
2015,KAN,9,@DEN,4.5,42.0
2015,KAN,10,@SDG,-3.0,45.0
2015,KAN,11,BUF,-5.5,41.5
2015,KAN,12,@OAK,-3.0,44.5
2015,KAN,13,SDG,-10.5,44.0
2015,KAN,14,@BAL,-6.5,41.0
2015,KAN,15,CLE,-10.5,42.5
2015,KAN,16,OAK,-7.0,43.0
2015,SDG,1,DET,-2.5,45.5
2015,SDG,2,@CIN,3.0,47.0
2015,SDG,3,@MIN,1.0,44.5
2015,SDG,4,CLE,-7.0,44.5
2015,SDG,5,PIT,-3.5,46.0
2015,SDG,6,@GNB,10.5,51.0
2015,SDG,7,OAK,-3.5,47.0
2015,SDG,8,@BAL,3.5,51.0
2015,SDG,9,CHI,-4.5,49.5
2015,SDG,10,KAN,3.0,45.0
2015,SDG,11,@JAX,4.5,46.5
2015,SDG,12,DEN,3.5,43.5
2015,SDG,13,@KAN,10.5,44.0
2015,SDG,14,MIA,-1.5,46.0
2015,SDG,15,@OAK,6.0,46.5
2015,SDG,16,@DEN,10.0,41.5
2015,RAM,1,SEA,4.0,40.5
2015,RAM,2,@WAS,-3.0,41.0
2015,RAM,3,PIT,1.0,48.0
2015,RAM,4,@ARI,7.0,44.0
2015,RAM,5,@GNB,9.0,45.5
2015,RAM,6,CLE,-6.5,41.5
2015,RAM,7,SFO,-7.5,39.5
2015,RAM,8,@MIN,1.0,40.0
2015,RAM,9,CHI,-6.5,42.5
2015,RAM,10,@BAL,2.5,42.0
2015,RAM,11,@CIN,8.5,42.0
2015,RAM,12,ARI,4.5,43.0
2015,RAM,13,DET,3.5,41.0
2015,RAM,14,TAM,-2.5,41.0
2015,RAM,15,@SEA,12.0,40.0
2015,RAM,16,@SFO,-3.5,37.5
2015,RAI,1,CIN,3.0,43.0
2015,RAI,2,BAL,6.0,43.0
2015,RAI,3,@CLE,3.5,42.5
2015,RAI,4,@CHI,-3.0,44.0
2015,RAI,5,DEN,4.0,44.0
2015,RAI,6,@SDG,3.5,47.0
2015,RAI,7,NYJ,3.0,44.0
2015,RAI,8,@PIT,4.5,48.5
2015,RAI,9,MIN,-3.0,44.0
2015,RAI,10,@DET,-1.0,49.0
2015,RAI,11,@TEN,-1.0,44.0
2015,RAI,12,KAN,3.0,44.5
2015,RAI,13,@DEN,6.5,43.5
2015,RAI,14,GNB,3.0,47.0
2015,RAI,15,SDG,-6.0,46.5
2015,RAI,16,@KAN,7.0,43.0
2015,MIA,1,@WAS,-3.0,43.5
2015,MIA,2,@JAX,-6.0,41.5
2015,MIA,3,BUF,-2.5,41.5
2015,MIA,4,NYJ,1.5,42.0
2015,MIA,5,@TEN,2.0,43.5
2015,MIA,6,HOU,-4.5,44.5
2015,MIA,7,@NWE,7.5,50.5
2015,MIA,8,@BUF,3.0,44.0
2015,MIA,9,@PHI,6.0,49.5
2015,MIA,10,DAL,1.5,46.0
2015,MIA,11,@NYJ,4.0,42.5
2015,MIA,12,BAL,-3.5,42.5
2015,MIA,13,NYG,1.0,46.5
2015,MIA,14,@SDG,1.5,46.0
2015,MIA,15,IND,-2.5,43.0
2015,MIA,16,NWE,9.0,46.5
2015,MIN,1,@SFO,-1.5,41.5
2015,MIN,2,DET,-2.0,43.5
2015,MIN,3,SDG,-1.0,44.5
2015,MIN,4,@DEN,7.0,42.5
2015,MIN,5,KAN,-3.5,43.0
2015,MIN,6,@DET,-2.0,44.5
2015,MIN,7,@CHI,-1.0,43.0
2015,MIN,8,STL,-1.0,40.0
2015,MIN,9,@OAK,3.0,44.0
2015,MIN,10,GNB,-1.0,44.0
2015,MIN,11,@ATL,2.5,45.5
2015,MIN,12,SEA,1.5,42.0
2015,MIN,13,@ARI,8.5,46.5
2015,MIN,14,CHI,-5.5,43.0
2015,MIN,15,NYG,-7.0,44.5
2015,MIN,16,@GNB,3.0,45.5
2015,NWE,1,PIT,-7.0,52.0
2015,NWE,2,@BUF,-1.0,44.0
2015,NWE,3,JAX,-13.5,49.0
2015,NWE,4,@DAL,-9.0,49.5
2015,NWE,5,@IND,-9.5,54.5
2015,NWE,6,NYJ,-7.5,47.5
2015,NWE,7,MIA,-7.5,50.5
2015,NWE,8,WAS,-14.0,52.0
2015,NWE,9,@NYG,-7.5,54.0
2015,NWE,10,BUF,-7.0,48.0
2015,NWE,11,@DEN,-2.5,43.5
2015,NWE,12,PHI,-8.0,49.0
2015,NWE,13,@HOU,-3.5,45.0
2015,NWE,14,TEN,-14.0,46.5
2015,NWE,15,@NYJ,-3.0,45.0
2015,NWE,16,@MIA,-9.0,46.5
2015,NOR,1,@ARI,2.0,48.5
2015,NOR,2,TAM,-10.0,47.5
2015,NOR,3,@CAR,9.5,43.5
2015,NOR,4,DAL,-3.0,48.0
2015,NOR,5,@PHI,6.0,49.5
2015,NOR,6,ATL,3.0,51.0
2015,NOR,7,@IND,4.0,52.0
2015,NOR,8,NYG,-3.0,49.5
2015,NOR,9,TEN,-7.5,48.0
2015,NOR,10,@WAS,-1.0,50.0
2015,NOR,11,@HOU,3.0,48.0
2015,NOR,12,CAR,6.5,50.0
2015,NOR,13,@TAM,4.5,50.5
2015,NOR,14,DET,-2.5,51.5
2015,NOR,15,JAX,-3.0,51.5
2015,NOR,16,@ATL,5.5,52.5
2015,NYG,1,@DAL,6.0,51.5
2015,NYG,2,ATL,-2.5,51.0
2015,NYG,3,WAS,-3.5,44.0
2015,NYG,4,@BUF,5.5,45.5
2015,NYG,5,SFO,-6.5,43.0
2015,NYG,6,@PHI,5.0,49.5
2015,NYG,7,DAL,-3.0,45.0
2015,NYG,8,@NOR,3.0,49.5
2015,NYG,9,@TAM,-1.0,49.5
2015,NYG,10,NWE,7.5,54.0
2015,NYG,11,@WAS,-2.5,47.0
2015,NYG,12,NYJ,2.5,46.5
2015,NYG,13,@MIA,-1.0,46.5
